Symbol,Security,CIK,Founded
A,Agilent Technologies,1090872,1999
AAPL,Apple Inc.,320193,1977
ABBV,AbbVie,1551152,2013
ABNB,Airbnb,1559720,2008
ABT,Abbott Laboratories,1800,1888
ACGL,Arch Capital Group,947484,1995
ACN,Accenture,1467373,1989
ADBE,Adobe Inc.,796343,1982
ADI,Analog Devices,6281,1965
ADM,Archer Daniels Midland,7084,1902
ADP,Automatic Data Processing,8670,1949
ADSK,Autodesk,769397,1982
AEE,Ameren,1002910,1902
AEP,American Electric Power,4904,1906
AES,AES Corporation,874761,1981
AFL,Aflac,4977,1955
AIG,American International Group,5272,1919
AIZ,Assurant,1267238,1892
AJG,Arthur J. Gallagher & Co.,354190,1927
AKAM,Akamai Technologies,1086222,1998
ALB,Albemarle Corporation,915913,1994
ALGN,Align Technology,1097149,1997
ALL,Allstate,899051,1931
ALLE,Allegion,1579241,1908
AMAT,Applied Materials,6951,1967
AMCR,Amcor,1748790,2019
AMD,Advanced Micro Devices,2488,1969
AME,Ametek,1037868,1930
AMGN,Amgen,318154,1980
AMP,Ameriprise Financial,820027,1894
AMT,American Tower,1053507,1995
AMTM,Amentum,2011286,2020
AMZN,Amazon,1018724,1994
ANET,Arista Networks,1596532,2004
ANSS,Ansys,1013462,1969
AON,Aon,315293,1982
AOS,A. O. Smith,91142,1916
APA,APA Corporation,1841666,1954
APD,Air Products,2969,1940
APH,Amphenol,820313,1932
APTV,Aptiv,1521332,1994
ARE,Alexandria Real Estate Equities,1035443,1994
ATO,Atmos Energy,731802,1906
AVB,AvalonBay Communities,915912,1978
AVGO,Broadcom,1730168,1961
AVY,Avery Dennison,8818,1990
AWK,American Water Works,1410636,1886
AXON,Axon Enterprise,1069183,1993
AXP,American Express,4962,1850
AZO,AutoZone,866787,1979
BA,Boeing,12927,1916
BAC,Bank of America,70858,1998
BALL,Ball Corporation,9389,1880
BAX,Baxter International,10456,1931
BBY,Best Buy,764478,1966
BDX,Becton Dickinson,10795,1897
BEN,Franklin Resources,38777,1947
BF.B,Brown–Forman,14693,1870
BG,Bunge Global,1996862,1818
BIIB,Biogen,875045,1978
BK,BNY Mellon,1390777,1784
BKNG,Booking Holdings,1075531,1996
BKR,Baker Hughes,1701605,2017
BLDR,Builders FirstSource,1316835,1998
BLK,BlackRock,2012383,1988
BMY,Bristol Myers Squibb,14272,1989
BR,Broadridge Financial Solutions,1383312,1962
BRK.B,Berkshire Hathaway,1067983,1839
BRO,Brown & Brown,79282,1939
BSX,Boston Scientific,885725,1979
BWA,BorgWarner,908255,1880
BX,Blackstone Inc.,1393818,1985
BXP,BXP Inc.,1037540,1970
C,Citigroup,831001,1998
CAG,Conagra Brands,23217,1919
CAH,Cardinal Health,721371,1971
CARR,Carrier Global,1783180,2020
CAT,Caterpillar Inc.,18230,1925
CB,Chubb Limited,896159,1985
CBOE,Cboe Global Markets,1374310,1973
CBRE,CBRE Group,1138118,1906
CCI,Crown Castle,1051470,1994
CCL,Carnival,815097,1972
CDNS,Cadence Design Systems,813672,1988
CDW,CDW,1402057,1984
CE,Celanese,1306830,1918
CEG,Constellation Energy,1868275,1999
CF,CF Industries,1324404,1946
CFG,Citizens Financial Group,759944,1828
CHD,Church & Dwight,313927,1847
CHRW,C.H. Robinson,1043277,1905
CHTR,Charter Communications,1091667,1993
CI,Cigna,1739940,1982
CINF,Cincinnati Financial,20286,1950
CL,Colgate-Palmolive,21665,1806
CLX,Clorox,21076,1913
CMCSA,Comcast,1166691,1963
CME,CME Group,1156375,1848
CMG,Chipotle Mexican Grill,1058090,1993